Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2021,"Mauricio Dubon","SFG",187,0.04812834,0.21925134,0.2195122,0.24,0.27807487,0.37714286,0.65521773,0.13714286,0.28244275,17.014288045684115,-5.643419250627739,0.2777600030641298,74.84413018654395,16530
2021,"Danny Jansen","TOR",185,0.09189189,0.22162162,0.41463415,0.21212121,0.29347826,0.42424242,0.71772068,0.21212121,0.23275862,21.715568768769575,-0.6998101072608699,0.30966785744480463,92.32291287669216,16535
2021,"Ozzie Albies","ATL",648,0.07253086,0.1882716,0.3852459,0.25844595,0.3132716,0.49155405,0.80482565,0.2331081,0.27578475,91.62834236325826,13.113934192081356,0.33870399385782957,108.94707450045652,16556
2021,"Connor Joe","COL",211,0.12322275,0.1943128,0.63414634,0.2849162,0.37914692,0.46927374,0.84842066,0.18435754,0.32330827,34.633117110780404,9.06746877109162,0.3661879171127392,115.8393761448743,16572
2021,"Yandy Diaz","TBR",520,0.12884615,0.15769231,0.81707317,0.25727069,0.35576923,0.38702461,0.74279384,0.12975392,0.28932584,68.13914202902956,5.133752755862911,0.32617467433907266,112.09362571127318,16578
2021,"Luis Urias","MIL",545,0.10825688,0.20183486,0.53636364,0.24893617,0.34195933,0.44042553,0.78238486,0.19148936,0.28070175,76.47071156519463,10.436217038510357,0.33738816050348674,109.14702174982934,16622
2021,"Jose Trevino","TEX",284,0.03873239,0.19014085,0.2037037,0.22014925,0.24822695,0.30597015,0.5541971,0.0858209,0.26168224,16.802070688741427,-17.608564991218824,0.23929151521458744,49.185657645395125,16725
2021,"Joshua Fuentes","COL",284,0.04225352,0.22887324,0.18461538,0.22509225,0.25704225,0.35055351,0.60759576,0.12546126,0.27,21.851563666152106,-12.559072013808143,0.2607841495911561,47.35316710125899,16885
2021,"Colin Moran","PIT",321,0.08411215,0.25233645,0.33333333,0.26643599,0.33021807,0.40138408,0.73160215,0.13494809,0.33663366,40.08097499729198,1.187263542125646,0.31871149101732676,99.3755671239409,16909
2021,"Jonah Heim","TEX",270,0.04814815,0.21111111,0.22807018,0.19047619,0.23048327,0.3452381,0.57572137,0.15476191,0.20634921,17.666605012450137,-15.047731725540242,0.24687036838673304,54.296347200736584,16930
2021,"Lane Thomas","2 Tms",219,0.14155251,0.24200913,0.58490566,0.24064171,0.34703196,0.4171123,0.76414426,0.17647059,0.30232558,29.690643103783778,3.1556810829693562,0.3322964398139114,106.4912042515065,16939
2021,"Gleyber Torres","NYY",479,0.10020877,0.20250522,0.49484536,0.25707547,0.3312369,0.35377358,0.68501048,0.09669811,0.31481481,53.55544708303942,-4.482209574358325,0.3029291021222828,91.6153400230818,16997
2021,"Edmundo Sosa","STL",315,0.05079365,0.19047619,0.26666667,0.27598566,0.34824281,0.39784946,0.74609227,0.1218638,0.33023256,41.19597920261035,3.0292530082882423,0.3258653078048559,106.82276293478303,17022
2021,"Magneuris Sierra","MIA",210,0.06666667,0.20952381,0.31818182,0.23589744,0.28708134,0.27692308,0.56400442,0.04102564,0.30463576,13.410220902437418,-12.034263227110655,0.24496808400968226,54.66804664368149,17023
2021,"Alex Verdugo","BOS",577,0.08838821,0.1559792,0.56666667,0.28957529,0.35467128,0.43243243,0.78710371,0.14285714,0.32619048,81.09778748401486,11.18603823282801,0.33767528571448957,110.02988824655174,17027
2021,"Ramon Laureano","OAK",378,0.07142857,0.25925926,0.2755102,0.24633431,0.31746032,0.44281525,0.76027557,0.19648094,0.30434783,49.94440614807222,4.144334714885691,0.32749379122698746,111.23127278482423,17128
2021,"Yoan Moncada","CHW",579,0.13816926,0.25215889,0.54794521,0.26283368,0.37651123,0.40041068,0.77692191,0.137577,0.35045317,84.64541452303307,14.491336851564808,0.3444950240293589,119.81820018162115,17232
2021,"Jorge Mateo","2 Tms",209,0.0430622,0.26315789,0.16363636,0.24742268,0.29326923,0.37628866,0.66955789,0.12886598,0.32352941,21.24530543025825,-4.078014489149118,0.29084544628858566,82.51684770187497,17273
2021,"Bobby Bradley","CLE",251,0.09561753,0.34262948,0.27906977,0.22374429,0.31474104,0.47488584,0.78962688,0.25114155,0.28333333,34.808719612889526,4.396502867572543,0.3354140739440918,112.41326203082072,17278
2021,"Willi Castro","DET",432,0.05324074,0.24768519,0.21495327,0.21265823,0.26806527,0.3443038,0.61236907,0.13164557,0.26595745,35.11792778116643,-17.22501099961818,0.2660417425855298,65.77665992845368,17338
2021,"Rafael Devers","BOS",624,0.09775641,0.21794872,0.44852941,0.27486438,0.35096154,0.52802893,0.87899047,0.25316455,0.30490956,103.62830166949612,28.021834541696144,0.36852455911991855,130.83264768810517,17350
2021,"Yermin Mercedes","CHW",262,0.07633588,0.17557252,0.43478261,0.27083333,0.32824427,0.40416667,0.73241094,0.13333334,0.30851064,32.43553969562503,0.690516638760295,0.31742642208990923,101.56488162966974,17423
2021,"Kelvin Gutierrez","2 Tms",262,0.0648855,0.25954198,0.25,0.20746888,0.27099237,0.27385892,0.54485129,0.06639004,0.28488372,16.855559605939696,-14.889463450925044,0.24554348310441462,50.423041508245,17468
2021,"Eloy Jimenez","CHW",194,0.06185567,0.2371134,0.26086957,0.25,0.29896907,0.45,0.74896907,0.2,0.28571429,24.356830467836144,0.8509737005393511,0.31954294135890055,102.99212565670379,17484
2021,"Taylor Ward","LAA",232,0.08189655,0.23706897,0.34545455,0.24019608,0.32173913,0.42647059,0.74820972,0.18627451,0.28873239,30.087188412180843,1.977091659537259,0.3245419813239056,105.17710864392681,17548
2021,"Myles Straw","2 Tms",595,0.10756303,0.20168067,0.53333333,0.26526718,0.34511785,0.33778626,0.68290411,0.07251908,0.33415842,68.06310639603434,-4.029598637685191,0.3060667872027516,94.49104881882174,17620
2021,"Alex Bregman","HOU",365,0.10958904,0.13972603,0.78431373,0.28616352,0.36712329,0.43396226,0.80108555,0.14779874,0.31034483,53.47597384728874,9.251037145931383,0.34487832946460334,121.81280267580729,17678
2021,"Kevin Newman","PIT",520,0.04807692,0.07307692,0.65789474,0.22222222,0.26070039,0.30864198,0.56934237,0.08641976,0.23146067,34.43764632644544,-28.567742946721214,0.24783061863854527,53.32064558678582,17696
2021,"Matt Beaty","LAD",227,0.08810573,0.1938326,0.45454545,0.25888325,0.35682819,0.36548223,0.72231042,0.10659898,0.31081081,29.431378384665706,1.927102682725646,0.3245026855216677,105.26602021921474,17710
2021,"Steven Duggar","SFG",282,0.08865248,0.30141844,0.29411765,0.25882353,0.32978723,0.44705882,0.77684605,0.18823529,0.35802469,37.97119287523856,3.8028856155597173,0.330541895281884,109.13922028759269,17719
2021,"DJ Stewart","BAL",318,0.13836478,0.27987421,0.49438202,0.2037037,0.32389937,0.37407407,0.69797344,0.17037037,0.25443787,37.30288541655107,-1.2273334081931544,0.30957504251401885,93.43546986550187,17766
2021,"Willie Calhoun","TEX",254,0.07874016,0.12204724,0.64516129,0.25862069,0.32283465,0.37931034,0.70214499,0.12068965,0.28061224,29.521171337159508,-1.2545380385795886,0.30827002027842004,95.70031063648817,17838
2021,"Andrew Benintendi","KCR",499,0.06212425,0.18837675,0.32978723,0.27608696,0.31927711,0.43913043,0.75840754,0.16304347,0.31179775,64.66534633923332,4.204405479021476,0.32442559104367913,103.75660047757546,17901
2021,"Brendan Rodgers","COL",378,0.05026455,0.1957672,0.25675676,0.28409091,0.33068783,0.47443182,0.80511965,0.19034091,0.3219697,55.24318535386173,9.443113920675204,0.3444388953466264,101.70792632868873,17907
2021,"Ian Happ","CHC",493,0.10750507,0.29614604,0.3630137,0.22632794,0.31771894,0.43187067,0.74958961,0.20554273,0.28409091,64.11505568038818,4.381100081020568,0.32498279535600466,101.54433533546492,17919
2021,"Isan Diaz","MIA",278,0.12230216,0.26258993,0.46575342,0.19246862,0.29241877,0.28033473,0.5727535,0.08786611,0.25454545,19.37639413210571,-14.307256287010311,0.2520288567701389,59.2557911869027,17922
2021,"Cedric Mullins","BAL",643,0.08864697,0.18195956,0.48717949,0.30017452,0.36817473,0.53228621,0.90046094,0.23211169,0.33178654,113.18886881147024,35.28028169099685,0.3805661307980648,141.30727911878543,17929
2021,"Andrew Stevenson","WSN",193,0.05699482,0.29015544,0.19642857,0.22285714,0.28272251,0.32,0.60272251,0.09714286,0.30172414,15.214122649101853,-8.170569908054233,0.26306582064855666,60.44717139644808,17932
2021,"Sam Hilliard","COL",201,0.08955224,0.36318408,0.24657534,0.21428571,0.28855721,0.46703297,0.75559018,0.25274726,0.27835052,24.874214314867984,0.520208076586256,0.31736905191411924,84.1192670265722,17954
2021,"Ty France","SEA",610,0.06721311,0.16885246,0.39805825,0.29128015,0.36557377,0.44341373,0.8089875,0.15213358,0.33018868,92.74346192631192,18.833293740481814,0.3515618066678102,128.30983905966292,17982
2021,"Tyler Stephenson","CIN",373,0.10723861,0.18766756,0.57142857,0.27863777,0.36461126,0.41795666,0.78256792,0.13931889,0.3266129,53.655335785562826,8.461085403079824,0.34166114753292454,108.43586267239012,17988
2021,"David Fletcher","LAA",631,0.0459588,0.09033281,0.50877193,0.26936027,0.304,0.32828283,0.63228283,0.05892256,0.29477612,57.50844060429829,-18.946175994486627,0.27794504509522366,73.75514150910001,17992
2021,"Paul DeJong","STL",370,0.09189189,0.26216216,0.35051546,0.19571865,0.28648649,0.382263,0.66874949,0.18654435,0.21962617,38.247129620935574,-6.583628131125316,0.2927313385783015,85.2939315063442,18015
2021,"Harrison Bader","STL",366,0.07377049,0.21038251,0.35064935,0.25225225,0.31420765,0.42042042,0.73462807,0.16816817,0.29268293,43.39938276238114,-0.9467181491169304,0.31111371715863545,97.2379013640994,18030
2021,"Jake Cronenworth","SDP",610,0.08688525,0.13934426,0.62352941,0.26815642,0.34385382,0.45810056,0.80195438,0.18994414,0.28571429,87.95634401418197,14.04617582835184,0.342075339499736,117.2448460588532,18036
2021,"Dylan Moore","SEA",361,0.10526316,0.29639889,0.35514019,0.18238994,0.27700831,0.33962264,0.61663095,0.1572327,0.23,31.539275382024528,-12.201004478770018,0.27338519651143506,75.5925775000123,18042
2021,"LaMonte Wade Jr.","SFG",349,0.08882521,0.23209169,0.38271605,0.26860841,0.34393064,0.51779935,0.86172999,0.24919094,0.30805687,56.87807096237914,14.591761623273063,0.3647813624229984,131.38635015122108,18126
2021,"Seth Brown","OAK",277,0.08303249,0.29241877,0.28395062,0.20717131,0.27436823,0.4501992,0.72456743,0.24302789,0.23076923,31.279991313279194,-2.282494895696123,0.30427980596368964,95.57725900091563,18171
2021,"Brian Anderson","MIA",264,0.09848485,0.24621212,0.4,0.24892704,0.33712121,0.3776824,0.71480361,0.12875536,0.31677019,32.004818524856795,0.017467047710642704,0.3143204942004371,99.72984826315414,18289
