Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Caleb Thielbar","MIN",64,266,10.828125,2.8125,3.85,1.125,0.28947368,0.07518797,0.21428571,0.23206751,1.171875,0.29746835,0.80838323,3.4662754058837892,4.019259378593415,10078
2021,"Kyle Gibson","2 Tms",182,753,7.66483516,3.11538462,2.46031746,0.84065934,0.20584329,0.08366534,0.12217795,0.23407407,1.21428571,0.27647059,0.73586745,3.8507190858837896,4.119728619875489,10123
2021,"Brad Boxberger","MIL",64.2,266,11.55154639,3.47938144,3.32,1.11340206,0.31203008,0.09398496,0.21804512,0.19213974,1.06701031,0.25,0.76802508,3.6487818458837893,3.7595018109098532,10133
2021,"Aroldis Chapman","NYY",56.1,243,15.49704142,6.07100592,2.55263158,1.43786982,0.39917695,0.1563786,0.24279835,0.18181818,1.31360947,0.28125,0.83850932,3.985968455883789,3.130582638497003,10233
2021,"Ryan Tepera","2 Tms",61.1,240,10.85869565,2.78804348,3.89473684,0.58695652,0.30833333,0.07916667,0.22916666,0.16431925,0.88043478,0.22302158,0.74427481,2.7291830158837893,3.6362102771512577,10291
2021,"Zack Wheeler","PHI",213.1,849,10.4203125,1.940625,5.36956522,0.675,0.29093051,0.05418139,0.23674912,0.21528662,1.0078125,0.28759398,0.75274177,2.5881504058837894,2.837232537376161,10310
2021,"Aaron Loup","NYM",56.2,218,9.05294118,2.54117647,3.5625,0.15882353,0.26146789,0.0733945,0.18807339,0.19170984,0.93529412,0.25714286,0.86330935,2.445870995883789,3.3685365296344867,10343
2021,"Mychal Givens","2 Tms",51,216,9.52941176,4.76470588,2,1.23529412,0.25,0.125,0.125,0.23369565,1.37254902,0.28571429,0.80385852,4.5419494258837885,4.452884580224168,10430
2021,"Mike Foltynewicz","TEX",139,586,6.28057554,2.33093525,2.69444444,2.26618705,0.16552901,0.06143345,0.10409556,0.25981308,1.25899281,0.25427873,0.72592593,6.01832126588379,5.05521748211744,10811
2021,"Chasen Shreve","PIT",56.1,235,7.18934911,4.47337278,1.60714286,1.1183432,0.19148936,0.11914894,0.07234042,0.21182266,1.26035503,0.23376623,0.83601286,4.731530585883789,5.152041405133465,10855
2021,"Jacob deGrom","NYM",92,324,14.2826087,1.07608696,13.27272727,0.58695652,0.45061728,0.03395062,0.41666666,0.12903226,0.55434783,0.2125,0.87155963,1.2346177958837892,1.6142301186271337,10954
2021,"Merrill Kelly","ARI",158,667,7.40506329,2.33544304,3.17073171,1.19620253,0.19490255,0.06146927,0.13343328,0.26633987,1.29113924,0.3014862,0.70548712,4.10610926588379,4.243210107880303,11156
2021,"Vince Velasquez","2 Tms",94.1,417,9.6360424,4.67491166,2.06122449,2.19434629,0.24220624,0.117506,0.12470024,0.25138122,1.48409894,0.28333333,0.67978533,5.88318132588379,4.976795121236222,11189
2021,"Jose Quintana","2 Tms",63,297,12.14285714,5,2.42857143,1.71428571,0.28619529,0.11784512,0.16835017,0.28571429,1.73015873,0.37804878,0.64377682,4.66146389588379,3.753666943595523,11423
2021,"Robbie Ray","TOR",193.1,773,11.54482759,2.46724138,4.67924528,1.5362069,0.32082794,0.06856404,0.2522639,0.21008403,1.05,0.26834862,0.90112641,3.691814195883789,3.362019240705342,11486
2021,"Jose Urena","DET",100.2,456,5.99006622,3.75496689,1.5952381,1.25165563,0.14692982,0.09210526,0.05482456,0.29166667,1.59933775,0.31914894,0.65337001,5.017082525883789,4.874255283110578,11589
2021,"Heath Hembree","2 Tms",58,243,12.87931034,3.72413793,3.45833333,1.86206897,0.34156379,0.09876543,0.24279836,0.20737327,1.18965517,0.2704918,0.5904059,4.3418141958837895,3.842501703624068,11632
2021,"Jameson Taillon","NYY",144.1,603,8.72979215,2.74364896,3.18181818,1.4965358,0.23217247,0.07296849,0.15920398,0.23765996,1.20554273,0.27249357,0.73087432,4.430370385883789,4.689213271897465,11674
2021,"Carlos Martinez","STL",82.1,363,6.23076923,3.93522267,1.58333333,0.87449393,0.15702479,0.09917355,0.05785124,0.24600639,1.37246964,0.2749004,0.58510638,4.760493525883789,5.0831910216666145,11682
2021,"Matt Harvey","BAL",127.2,582,6.69712794,2.60835509,2.56756757,1.33942559,0.16323024,0.06357388,0.09965636,0.29850746,1.54308094,0.33098592,0.60433295,4.60282077588379,4.810303437464651,11713
2021,"Luke Jackson","ATL",63.2,261,9.89528796,4.09947644,2.4137931,0.84816754,0.26819923,0.11111111,0.15708812,0.19823789,1.16230366,0.25324675,0.90236686,3.6563113958837894,3.761440984585108,11752
2021,"Drew Smyly","ATL",126.2,546,8.31315789,2.91315789,2.85365854,1.91842105,0.21428571,0.07509158,0.13919413,0.26923077,1.37368421,0.29526462,0.77424023,5.111505665883789,4.388135237489175,11760
2021,"Hansel Robles","2 Tms",69,297,9.91304348,4.82608696,2.05405405,1.04347826,0.25589226,0.12457912,0.13131314,0.22834646,1.37681159,0.29239766,0.68693694,4.299835185883789,4.5570315237494485,11801
